Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,432.250000,439.200012,432.250000,434.750000,391.586029,5322040
2017-11-14,434.000000,442.424988,433.049988,434.899994,391.721161,2012894
2017-11-15,438.500000,438.500000,423.000000,424.174988,382.060944,3122146
2017-11-16,424.850006,429.350006,419.350006,425.950012,383.659821,2181070
2017-11-17,424.450012,428.100006,419.250000,420.000000,378.300507,3096988
2017-11-20,421.500000,424.225006,418.450012,421.075012,379.268768,2260478
2017-11-21,421.549988,423.100006,417.549988,418.850006,377.264618,2987142
2017-11-22,419.274994,422.149994,417.200012,421.075012,379.268768,2269436
2017-11-23,424.000000,428.000000,421.100006,426.850006,384.470337,2332448
2017-11-24,427.500000,431.750000,427.500000,429.200012,386.587097,1646756
2017-11-27,428.750000,431.500000,426.549988,430.350006,387.622864,1592740
2017-11-28,430.500000,432.024994,428.399994,429.625000,386.969910,2108650
2017-11-29,430.000000,431.475006,423.075012,426.575012,384.222748,1523670
2017-11-30,425.000000,428.950012,421.149994,424.000000,381.903320,6822606
2017-12-01,423.500000,424.975006,413.549988,415.000000,373.796967,2768524
2017-12-04,418.000000,424.850006,412.424988,423.975006,381.880890,1793768
2017-12-05,423.950012,426.450012,419.549988,424.000000,381.903320,1980098
2017-12-06,422.750000,430.075012,422.500000,429.299988,386.677124,3179456
2017-12-07,430.075012,433.500000,426.799988,431.750000,388.883911,2450146
2017-12-08,434.850006,436.399994,431.700012,435.225006,392.013977,1739846
2017-12-11,437.250000,441.000000,435.875000,440.000000,396.314850,1597008
2017-12-12,440.500000,440.899994,435.125000,437.600006,394.153107,2921624
2017-12-13,435.000000,436.774994,431.524994,433.174988,390.167450,8609940
2017-12-14,431.500000,442.524994,431.100006,441.424988,397.598328,6365040
2017-12-15,444.450012,448.225006,442.500000,445.899994,401.629089,4469222
2017-12-18,444.049988,445.875000,437.875000,442.500000,398.566620,2615662
2017-12-19,444.500000,444.500000,432.500000,434.725006,391.563538,3971188
2017-12-20,435.000000,437.500000,432.000000,434.924988,391.743622,2109744
2017-12-21,437.000000,446.000000,435.725006,445.125000,400.931030,2859366
2017-12-22,445.500000,446.450012,439.049988,443.450012,399.422272,2104074
2017-12-26,441.049988,446.649994,441.024994,444.225006,400.120300,2127136
2017-12-27,443.000000,445.799988,440.274994,441.825012,397.958618,801620
2017-12-28,441.000000,445.424988,437.799988,439.149994,395.549194,2319726
2017-12-29,439.149994,450.875000,437.500000,445.250000,401.043579,3093850
2018-01-01,444.500000,445.350006,437.975006,439.350006,395.729370,1286288
2018-01-02,438.450012,447.500000,438.424988,446.399994,402.079407,1906518
2018-01-03,446.500000,453.899994,446.500000,448.649994,404.105988,2583906
2018-01-04,448.000000,449.725006,441.524994,446.549988,402.214508,1193460
2018-01-05,444.125000,451.500000,441.149994,450.024994,405.344482,1492292
2018-01-08,450.075012,451.700012,447.549988,450.250000,405.547089,2353168
2018-01-09,450.250000,451.424988,442.500000,446.924988,402.552277,2504270
2018-01-10,446.000000,459.000000,445.549988,457.924988,412.460144,3400572
2018-01-11,459.500000,462.450012,455.024994,458.450012,412.933075,4243446
2018-01-12,459.250000,464.000000,456.125000,462.950012,416.986206,1980698
2018-01-15,462.500000,465.549988,452.750000,454.625000,409.487762,2536486
2018-01-16,457.049988,477.500000,455.000000,474.625000,427.502045,8963404
2018-01-17,475.000000,481.799988,471.649994,476.424988,429.123352,5498922
2018-01-18,476.500000,479.825012,470.250000,477.125000,429.753937,1869500
2018-01-19,478.500000,483.500000,473.075012,479.149994,431.577850,4748438
2018-01-22,480.000000,487.450012,472.500000,483.174988,435.203217,4431318
2018-01-23,484.975006,500.000000,484.274994,497.674988,448.263489,5015202
2018-01-24,497.000000,520.349976,496.000000,509.225006,458.666870,9269776
2018-01-25,509.399994,510.000000,495.024994,504.774994,454.658630,5307454
2018-01-29,505.000000,510.500000,502.524994,506.024994,456.689240,4013296
2018-01-30,508.750000,508.750000,499.000000,500.200012,451.432220,2711352
2018-01-31,499.975006,508.950012,490.850006,493.274994,445.182404,3221144
2018-02-01,491.049988,507.475006,484.500000,492.450012,444.437836,3055658
2018-02-02,490.000000,503.850006,488.924988,495.450012,447.145355,3345056
2018-02-05,495.000000,500.899994,490.000000,496.575012,448.160645,2177578
2018-02-06,482.475006,484.375000,474.024994,476.924988,430.426422,3310994
2018-02-07,479.100006,479.500000,461.000000,469.274994,423.522278,4051696
2018-02-08,472.875000,481.500000,468.750000,472.174988,426.139526,2896536
2018-02-09,467.500000,485.299988,461.274994,482.000000,435.006653,3456506
2018-02-12,482.750000,486.375000,468.674988,469.575012,423.793121,2975588
2018-02-14,469.899994,479.899994,465.149994,468.899994,423.183777,2889532
2018-02-15,472.000000,474.825012,466.000000,469.850006,424.041229,2281842
2018-02-16,472.500000,485.475006,465.500000,468.549988,422.867981,5698140
2018-02-19,468.924988,469.850006,450.049988,457.100006,412.534271,2925546
