Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,189.949997,190.300003,183.550003,184.199997,144.427734,6894203
2017-11-14,184.899994,185.100006,181.350006,182.000000,142.702759,4663077
2017-11-15,180.600006,181.399994,175.800003,177.550003,139.213623,7701984
2017-11-16,182.500000,182.649994,177.100006,179.149994,140.468109,7245718
2017-11-17,182.399994,183.500000,177.199997,177.600006,139.252777,6851616
2017-11-20,178.699997,180.449997,177.699997,180.000000,141.134583,4004561
2017-11-21,180.899994,182.000000,178.199997,180.899994,141.840256,5170506
2017-11-22,181.199997,182.750000,180.000000,181.300003,142.153885,3217008
2017-11-23,181.899994,182.750000,180.500000,181.699997,142.467514,3511238
2017-11-24,182.500000,182.600006,180.399994,181.000000,141.918655,2358579
2017-11-27,182.350006,184.449997,181.550003,184.050003,144.310104,6930971
2017-11-28,183.300003,183.699997,180.000000,181.250000,142.114685,10710188
2017-11-29,181.000000,184.250000,181.000000,182.449997,143.055588,5407391
2017-11-30,181.000000,182.000000,179.449997,180.649994,141.644211,9645385
2017-12-01,182.000000,183.100006,179.000000,179.649994,140.860153,3451636
2017-12-04,181.250000,183.800003,180.850006,181.600006,142.389145,6347567
2017-12-05,180.100006,180.699997,177.300003,178.399994,139.880035,4550575
2017-12-06,178.399994,179.199997,175.399994,175.850006,137.880661,4194219
2017-12-07,175.550003,177.350006,175.350006,177.050003,138.821564,4373514
2017-12-08,177.500000,181.399994,177.449997,180.250000,141.330612,4832733
2017-12-11,181.949997,181.949997,177.699997,178.899994,140.272095,2310668
2017-12-12,180.399994,184.199997,180.199997,183.300003,143.722061,6983526
2017-12-13,183.699997,187.000000,183.100006,183.899994,144.192490,11488267
2017-12-14,185.949997,186.699997,182.399994,184.350006,144.545349,5885128
2017-12-15,185.149994,186.100006,182.300003,183.000000,143.486801,7297568
2017-12-18,183.000000,183.899994,177.000000,183.050003,143.526047,4785160
2017-12-19,183.050003,186.000000,183.000000,185.199997,145.211777,4240135
2017-12-20,190.699997,191.100006,187.500000,188.000000,147.407257,8877376
2017-12-21,188.899994,189.600006,187.100006,188.000000,147.407257,3893100
2017-12-22,188.699997,193.800003,187.750000,193.399994,151.641266,8914713
2017-12-26,194.850006,197.149994,192.699997,193.699997,151.876480,11345494
2017-12-27,195.300003,196.000000,191.350006,192.600006,151.014008,7260402
2017-12-28,193.149994,194.399994,192.050003,193.000000,151.327637,12772109
2017-12-29,194.000000,195.899994,192.500000,195.199997,153.052628,5899591
2018-01-01,195.199997,195.699997,192.000000,192.350006,150.817978,5899565
2018-01-02,195.750000,197.500000,195.000000,196.850006,154.346344,12878378
2018-01-03,197.399994,197.399994,193.000000,193.449997,151.680466,8032715
2018-01-04,195.300003,200.000000,195.199997,199.500000,156.424164,12740860
2018-01-05,200.949997,200.949997,196.300003,198.449997,155.600876,6812787
2018-01-08,198.000000,199.899994,196.699997,197.399994,154.777573,4858711
2018-01-09,198.500000,199.000000,196.500000,197.000000,154.463974,4598757
2018-01-10,198.300003,200.000000,197.250000,197.899994,155.169617,7673209
2018-01-11,198.000000,199.699997,197.000000,197.899994,155.169617,5701402
2018-01-12,198.899994,201.949997,197.649994,200.750000,157.404251,9291346
2018-01-15,199.500000,200.350006,196.000000,196.600006,154.150330,4500523
2018-01-16,197.600006,198.250000,195.000000,197.199997,154.620758,5778244
2018-01-17,196.300003,198.649994,194.100006,195.699997,153.444641,6306388
2018-01-18,196.399994,197.500000,193.250000,194.100006,152.190109,6247782
2018-01-19,194.149994,196.149994,192.000000,193.699997,151.876480,5046015
2018-01-22,198.000000,205.949997,198.000000,200.699997,157.365036,23165754
2018-01-23,202.000000,208.699997,200.399994,207.350006,162.579208,15755015
2018-01-24,209.199997,212.000000,208.000000,210.850006,165.323471,16132441
2018-01-25,212.399994,212.850006,207.100006,208.500000,163.480896,10247173
2018-01-29,208.000000,208.449997,204.250000,205.149994,160.854202,7620080
2018-01-30,203.850006,208.000000,203.500000,204.800003,160.579788,7323876
2018-01-31,203.000000,204.600006,198.800003,203.449997,159.521286,11990243
2018-02-01,204.050003,207.050003,194.000000,194.899994,152.817383,10015459
2018-02-02,194.000000,197.750000,188.000000,192.699997,151.092422,12239774
2018-02-05,192.399994,192.449997,188.000000,188.750000,147.995300,7607002
2018-02-06,182.000000,187.000000,180.100006,185.449997,145.407822,5935676
2018-02-07,188.050003,191.500000,187.000000,190.000000,148.975388,8644010
2018-02-08,190.000000,191.600006,188.000000,188.699997,147.956085,4540513
2018-02-09,187.399994,190.199997,184.600006,187.350006,146.897583,7314145
2018-02-12,192.000000,194.500000,190.350006,191.000000,149.759476,14960914
2018-02-14,191.000000,192.000000,184.300003,185.750000,145.643051,4960527
2018-02-15,187.100006,189.000000,185.000000,188.300003,147.642456,5046557
2018-02-16,187.600006,189.300003,186.500000,186.899994,146.544739,4167034
2018-02-19,187.399994,187.399994,181.850006,185.300003,145.290237,4265576
2018-02-20,185.800003,188.500000,184.800003,187.000000,146.623154,5328584
2018-02-21,188.000000,190.800003,184.699997,190.149994,149.093002,4651807
2018-02-22,187.500000,188.399994,185.250000,186.100006,145.917465,8629189
2018-02-23,187.050003,190.850006,186.500000,189.800003,148.818558,4880302
2018-02-26,190.350006,191.949997,189.500000,190.350006,149.249847,2721955
2018-02-27,191.000000,194.350006,186.100006,188.500000,147.799271,6611097
2018-02-28,187.699997,190.199997,186.300003,188.300003,147.642456,6147245
2018-03-01,187.899994,190.199997,187.350006,189.699997,148.740189,3450224
2018-03-05,189.000000,189.399994,184.199997,185.550003,145.486221,5082390
2018-03-06,186.500000,186.899994,184.500000,185.399994,145.368607,2906142
2018-03-07,185.000000,185.250000,178.800003,181.500000,142.310684,4482279
2018-03-08,182.000000,182.699997,179.399994,180.149994,141.252182,3288627
2018-03-09,180.300003,182.949997,179.500000,179.899994,141.056183,2053847
2018-03-12,180.899994,184.300003,179.000000,183.850006,144.153275,4161129
2018-03-13,182.399994,184.199997,181.550003,183.600006,145.740906,2457755
2018-03-14,182.800003,184.100006,179.750000,180.600006,143.359512,4846612
2018-03-15,181.100006,181.399994,178.750000,180.300003,143.121368,5145739
2018-03-16,180.300003,180.449997,176.100006,177.149994,140.620895,8194541
2018-03-19,177.699997,178.399994,176.149994,176.850006,140.382767,5782668
2018-03-20,176.399994,177.750000,173.600006,174.100006,138.199844,3020586
2018-03-21,175.699997,177.300003,173.649994,175.550003,139.350845,4055822
2018-03-22,177.000000,181.699997,176.550003,178.899994,142.010040,8348549
2018-03-23,176.199997,179.550003,176.149994,177.399994,140.819351,6884971
2018-03-26,179.449997,179.449997,176.000000,178.899994,142.010040,4169998
2018-03-27,180.550003,181.100006,177.250000,179.600006,142.565704,3823981
2018-03-28,178.500000,179.000000,176.100006,177.800003,141.136871,6229049
2018-04-02,179.100006,180.899994,178.399994,179.949997,142.843521,2235832
2018-04-03,177.699997,179.199997,176.399994,177.500000,140.898712,3552271
2018-04-04,178.500000,178.500000,174.699997,175.399994,139.231766,3353172
2018-04-05,176.500000,177.899994,175.449997,177.449997,140.859055,5375271
2018-04-06,179.350006,179.350006,176.399994,176.949997,140.462158,3633964
2018-04-09,177.100006,179.149994,176.300003,178.399994,141.613159,4046065
2018-04-10,179.399994,180.600006,178.199997,180.199997,143.041977,5180326
2018-04-11,181.500000,185.399994,180.350006,182.149994,144.589890,11607043
2018-04-12,183.149994,184.000000,181.000000,181.750000,144.272369,4277125
2018-04-13,181.800003,183.500000,181.100006,182.500000,144.867722,3050131
2018-04-16,182.199997,182.350006,179.800003,181.500000,144.073914,2308502
2018-04-17,181.750000,182.100006,179.300003,180.800003,143.518234,2721706
2018-04-18,181.050003,182.949997,181.000000,182.100006,144.550201,3279393
2018-04-19,183.250000,186.250000,181.750000,183.949997,146.018723,5004280
2018-04-20,185.000000,185.000000,181.100006,182.350006,144.748657,1618027
2018-04-23,183.399994,183.750000,179.399994,181.050003,143.716721,3930421
2018-04-24,182.100006,183.050003,181.500000,182.649994,144.986786,4080212
2018-04-25,181.600006,182.449997,178.699997,179.449997,142.446640,3629856
2018-04-26,179.449997,181.800003,177.300003,180.800003,143.518234,6742459
2018-04-27,180.949997,183.000000,179.550003,180.699997,143.438904,4687951
2018-04-30,178.500000,181.949997,178.300003,180.550003,143.319824,3335191
2018-05-02,181.500000,181.500000,179.250000,180.050003,142.922913,4157973
2018-05-03,179.949997,182.350006,179.699997,181.100006,143.756409,2796713
2018-05-04,181.800003,185.149994,179.550003,180.250000,143.081680,5325720
2018-05-07,181.250000,184.500000,180.800003,183.899994,145.979019,4799480
2018-05-08,184.850006,186.149994,179.449997,183.100006,145.344009,5730645
2018-05-09,184.399994,185.750000,182.199997,182.850006,145.145538,3075560
2018-05-10,184.449997,189.350006,183.500000,188.250000,149.432022,10328901
2018-05-11,188.550003,189.000000,186.300003,187.500000,148.836700,4926216
2018-05-14,187.500000,188.500000,184.850006,187.250000,148.638275,3255344
2018-05-15,189.000000,192.000000,184.199997,189.000000,150.027405,5877427
2018-05-16,188.949997,188.949997,175.800003,186.199997,147.804764,8348946
2018-05-17,185.949997,189.399994,184.949997,188.600006,149.709854,4519306
2018-05-18,189.000000,191.750000,184.600006,185.050003,146.891891,4488003
2018-05-21,186.449997,188.649994,185.199997,185.750000,147.447540,3380355
2018-05-22,186.199997,188.500000,184.000000,185.199997,147.010971,3796268
2018-05-23,183.899994,185.350006,174.300003,175.399994,139.231766,5590802
2018-05-24,175.600006,176.100006,155.149994,167.699997,133.119522,34819270
2018-05-25,166.000000,176.199997,162.850006,175.449997,139.271454,12361678
2018-05-28,175.000000,178.800003,173.699997,175.600006,139.390533,8087040
2018-05-29,176.199997,177.399994,173.250000,175.550003,139.350845,11015160
2018-05-30,175.399994,178.500000,172.699997,174.000000,138.120453,12554659
2018-05-31,177.699997,180.350006,175.050003,177.899994,141.216263,23822373
2018-06-01,176.000000,176.000000,170.600006,173.199997,137.485397,9847581
2018-06-04,175.399994,175.399994,170.399994,171.100006,135.818451,5294603
2018-06-05,170.500000,172.300003,169.199997,171.199997,135.897812,5918946
2018-06-06,171.250000,172.250000,169.800003,170.300003,135.183426,3331408
2018-06-07,170.100006,173.750000,170.100006,172.649994,137.048813,5086661
2018-06-08,174.000000,174.899994,172.100006,173.699997,137.882309,4323567
2018-06-11,174.050003,174.300003,172.500000,173.300003,137.564804,3192749
2018-06-12,172.850006,175.600006,170.800003,171.399994,136.056580,4564556
2018-06-13,170.800003,172.000000,168.600006,170.000000,134.945282,5321172
2018-06-14,169.500000,170.800003,167.000000,168.500000,133.754578,4188442
2018-06-15,166.399994,168.300003,164.550003,165.449997,131.333496,7589493
2018-06-18,164.899994,167.399994,163.250000,164.600006,130.658768,4390244
2018-06-19,165.399994,166.800003,163.500000,164.800003,130.817520,4413184
2018-06-20,165.000000,165.000000,162.149994,162.750000,129.190247,5768211
2018-06-21,163.699997,163.699997,158.250000,159.699997,126.769180,12638114
2018-06-22,160.649994,160.649994,158.649994,159.550003,126.650101,5371207
2018-06-25,160.350006,160.699997,156.100006,156.649994,124.348076,5899032
2018-06-26,156.399994,158.899994,156.050003,158.300003,125.657845,5960446
2018-06-27,158.350006,158.850006,154.449997,156.250000,124.030571,7034207
2018-06-28,156.300003,158.600006,151.800003,153.500000,121.847633,17670403
2018-06-29,155.149994,159.350006,154.149994,158.399994,125.737236,7079407
2018-07-02,157.850006,158.000000,153.500000,155.500000,123.435234,9196529
2018-07-03,155.050003,161.600006,154.699997,157.699997,125.181595,12087830
2018-07-04,157.800003,158.000000,155.050003,156.000000,123.832130,5194030
2018-07-05,156.000000,157.600006,154.199997,156.399994,124.149651,6807718
2018-07-06,156.899994,157.350006,155.250000,155.449997,123.395561,3633191
2018-07-09,156.000000,158.399994,155.199997,157.399994,124.943428,4379183
2018-07-10,158.500000,159.800003,157.350006,157.949997,125.380035,5276248
2018-07-11,158.000000,158.750000,156.500000,158.100006,125.499100,6653936
