Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,4189.000000,4257.950195,4189.000000,4240.549805,4160.757324,157581
2017-12-12,4230.000000,4259.600098,4166.600098,4222.500000,4143.046875,176379
2017-12-13,4220.700195,4349.000000,4181.600098,4274.350098,4193.921387,242129
2017-12-14,4302.149902,4314.000000,4238.200195,4268.200195,4187.887207,155066
2017-12-15,4299.000000,4327.000000,4258.799805,4311.799805,4230.666504,248023
2017-12-18,4287.500000,4320.000000,4202.000000,4309.899902,4228.801758,171295
2017-12-19,4318.899902,4370.000000,4318.899902,4360.500000,4278.450195,165588
2017-12-20,4360.000000,4370.000000,4312.750000,4333.100098,4251.565918,98899
2017-12-21,4323.100098,4383.399902,4306.299805,4332.750000,4251.221680,77428
2017-12-22,4323.000000,4349.799805,4266.000000,4288.899902,4208.197754,98020
2017-12-26,4299.100098,4365.899902,4282.450195,4340.350098,4258.679199,150416
2017-12-27,4313.000000,4337.950195,4265.149902,4277.700195,4197.207520,85346
2017-12-28,4279.000000,4294.600098,4250.000000,4276.450195,4195.981445,135145
2017-12-29,4270.000000,4333.000000,4270.000000,4320.600098,4239.301270,172445
2018-01-01,4302.200195,4319.799805,4243.049805,4256.049805,4175.965332,166780
2018-01-02,4285.000000,4301.000000,4243.799805,4252.299805,4172.285645,141217
2018-01-03,4256.000000,4314.000000,4245.399902,4301.950195,4221.001465,166916
2018-01-04,4302.100098,4350.000000,4295.000000,4345.500000,4263.731934,149645
2018-01-05,4359.799805,4412.000000,4350.049805,4395.799805,4313.085938,165179
2018-01-08,4400.000000,4433.399902,4371.200195,4425.299805,4342.030762,176265
2018-01-09,4432.899902,4478.000000,4385.299805,4426.850098,4343.551758,137512
2018-01-10,4428.000000,4428.000000,4376.600098,4403.200195,4320.347168,108721
2018-01-11,4419.850098,4435.000000,4381.600098,4406.100098,4323.191895,111608
2018-01-12,4412.799805,4436.200195,4351.600098,4405.500000,4322.603027,77493
2018-01-15,4417.799805,4565.850098,4403.399902,4520.149902,4435.096191,318055
2018-01-16,4528.000000,4591.000000,4511.000000,4545.100098,4459.576172,315736
2018-01-17,4542.000000,4599.899902,4498.950195,4544.250000,4458.742676,325182
2018-01-18,4554.500000,4557.750000,4370.000000,4408.649902,4325.694336,626579
2018-01-19,4368.000000,4382.399902,4271.000000,4300.000000,4219.089355,311100
2018-01-22,4325.000000,4344.250000,4260.549805,4330.000000,4248.523438,179728
2018-01-23,4344.700195,4407.049805,4301.000000,4374.700195,4292.382813,250337
2018-01-24,4364.799805,4368.950195,4275.100098,4283.000000,4202.408203,244058
2018-01-25,4285.000000,4390.950195,4282.000000,4359.950195,4277.911133,279951
2018-01-29,4370.000000,4413.100098,4331.299805,4390.700195,4308.082520,263874
2018-01-30,4383.899902,4384.549805,4306.000000,4363.200195,4281.099609,201842
2018-01-31,4363.200195,4405.899902,4330.000000,4382.000000,4299.544922,189153
2018-02-01,4382.000000,4425.000000,4347.649902,4391.450195,4308.818359,268309
2018-02-02,4368.000000,4368.000000,4129.000000,4179.450195,4100.807129,240012
2018-02-05,4122.850098,4179.799805,4052.050049,4146.399902,4068.379150,178020
2018-02-06,3980.000000,4114.750000,3948.600098,4092.649902,4015.639893,298939
2018-02-07,4157.899902,4167.850098,4051.000000,4081.550049,4004.748535,262748
2018-02-08,4085.000000,4181.899902,4051.949951,4167.000000,4088.591309,188256
2018-02-09,4060.000000,4167.899902,4054.050049,4153.299805,4075.149170,181041
2018-02-12,4170.000000,4222.450195,4162.549805,4200.299805,4121.264160,218964
2018-02-14,4200.000000,4206.549805,4155.000000,4175.500000,4096.930664,152754
2018-02-15,4190.399902,4229.100098,4160.049805,4187.850098,4109.048828,122433
2018-02-16,4205.000000,4259.899902,4144.149902,4166.350098,4087.953125,114025
2018-02-19,4143.049805,4215.000000,4077.350098,4116.600098,4039.139893,131776
2018-02-20,4100.000000,4185.000000,4084.300049,4140.600098,4062.687500,123931
2018-02-21,4165.100098,4172.950195,4120.049805,4131.549805,4053.807617,170432
2018-02-22,4131.549805,4131.549805,4072.199951,4099.899902,4022.753418,196243
2018-02-23,4119.799805,4134.250000,4063.550049,4116.399902,4038.943115,136480
2018-02-26,4120.000000,4149.000000,4120.000000,4140.799805,4062.883789,129762
2018-02-27,4148.000000,4185.200195,4139.799805,4176.100098,4097.520020,179366
2018-02-28,4125.000000,4193.950195,4125.000000,4155.600098,4077.405518,160018
2018-03-01,4155.649902,4180.000000,4131.299805,4153.299805,4075.149170,198915
2018-03-05,4116.200195,4134.399902,4075.449951,4095.399902,4018.338135,124424
2018-03-06,4107.000000,4174.649902,4102.700195,4150.299805,4072.205078,235296
2018-03-07,4160.000000,4170.500000,4093.000000,4113.450195,4036.049072,188355
2018-03-08,4105.250000,4133.600098,4064.149902,4119.899902,4042.376709,154031
2018-03-09,4115.000000,4134.549805,4051.949951,4079.850098,4003.081055,135949
2018-03-12,4079.850098,4185.850098,4074.899902,4176.000000,4097.421875,102681
2018-03-13,4143.000000,4209.100098,4141.799805,4170.000000,4091.534912,138444
2018-03-14,4153.100098,4244.000000,4144.750000,4230.250000,4150.651367,237294
2018-03-15,4230.000000,4230.000000,4156.000000,4189.399902,4110.569824,188385
2018-03-16,4141.000000,4166.799805,4003.300049,4026.300049,3950.538574,527458
2018-03-19,4059.000000,4065.500000,3960.000000,3972.399902,3897.652588,193770
2018-03-20,3969.000000,3998.899902,3910.199951,3936.800049,3862.722656,155144
2018-03-21,3960.000000,4054.000000,3958.449951,3999.199951,3923.948486,205143
2018-03-22,3999.000000,4012.000000,3912.600098,3925.149902,3851.291748,180643
2018-03-23,3851.000000,3898.949951,3813.100098,3873.750000,3800.859375,249194
2018-03-26,3863.000000,3970.000000,3826.199951,3950.000000,3875.674316,156418
2018-03-27,3949.500000,3990.050049,3923.000000,3978.600098,3903.736084,106468
2018-03-28,3974.899902,3974.899902,3923.000000,3950.000000,3875.674316,464340
2018-04-02,4123.000000,4123.000000,3923.050049,3978.500000,3903.637695,303869
2018-04-03,3967.000000,3991.600098,3914.500000,3951.199951,3876.851807,240321
2018-04-04,3952.000000,3974.949951,3872.600098,3881.300049,3808.267334,177225
2018-04-05,3935.000000,3979.850098,3915.000000,3966.600098,3891.961914,124669
2018-04-06,3950.000000,3989.149902,3920.050049,3949.500000,3875.183594,214201
2018-04-09,3956.100098,3974.949951,3901.449951,3918.199951,3844.472656,107499
2018-04-10,3944.800049,3947.850098,3908.050049,3931.199951,3857.228271,115836
2018-04-11,3921.000000,3936.949951,3890.000000,3924.649902,3850.801270,139653
2018-04-12,3885.050049,3900.000000,3865.000000,3872.300049,3799.436279,218223
2018-04-13,3884.800049,3905.699951,3862.500000,3878.949951,3805.961182,304761
2018-04-16,3865.149902,3924.050049,3865.149902,3917.000000,3843.295166,180569
2018-04-17,3920.000000,3945.000000,3902.550049,3917.250000,3843.540527,103447
2018-04-18,3934.000000,4008.699951,3922.449951,3992.350098,3917.227539,159338
2018-04-19,4015.199951,4163.500000,4007.550049,4103.450195,4026.237305,449754
2018-04-20,4105.000000,4134.500000,4058.050049,4080.899902,4004.111084,192832
2018-04-23,4072.100098,4162.649902,4072.100098,4143.700195,4065.729492,111251
2018-04-24,4168.000000,4173.700195,4096.000000,4119.250000,4041.739746,378441
2018-04-25,4134.000000,4162.750000,4079.000000,4134.799805,4056.996338,482116
2018-04-26,4175.000000,4175.000000,4026.750000,4079.449951,4002.688477,512593
2018-04-27,4077.500000,4122.850098,4036.000000,4062.350098,3985.910156,127581
2018-04-30,4099.950195,4127.950195,4078.050049,4108.850098,4031.535156,177986
2018-05-02,4112.799805,4119.950195,3993.000000,4016.500000,3940.922607,217139
2018-05-03,4028.800049,4029.750000,3981.500000,3995.350098,3920.171143,146828
2018-05-04,3998.899902,4034.300049,3960.000000,3985.850098,3910.849609,212463
2018-05-07,4005.000000,4050.000000,3970.000000,4033.399902,3957.504883,133722
2018-05-08,4046.199951,4076.750000,4033.000000,4064.100098,3987.627441,202627
2018-05-09,4074.800049,4080.000000,3955.000000,3966.250000,3891.618652,230272
2018-05-10,3967.000000,4016.800049,3930.000000,3998.550049,3923.310791,263132
2018-05-11,4011.000000,4085.000000,3968.550049,4071.600098,3994.986084,97087
2018-05-14,4085.000000,4155.000000,4055.750000,4107.049805,4029.769043,346826
2018-05-15,4110.000000,4139.500000,4077.149902,4109.299805,4031.976563,211226
2018-05-16,4090.000000,4090.000000,3970.149902,3990.750000,3915.657227,218521
2018-05-17,3998.000000,4019.800049,3940.000000,3957.800049,3883.327393,241558
2018-05-18,3931.050049,3941.050049,3851.449951,3858.850098,3786.239502,382059
2018-05-21,3899.949951,4019.000000,3814.199951,3852.250000,3779.763428,516801
2018-05-22,3840.000000,3881.050049,3720.000000,3755.550049,3684.883301,976312
2018-05-23,3750.000000,3750.000000,3690.050049,3700.800049,3631.163330,333394
2018-05-24,3700.000000,3723.949951,3631.750000,3658.399902,3589.561035,398238
2018-05-25,3693.899902,3700.000000,3662.000000,3682.149902,3612.864014,271222
2018-05-28,3691.000000,3744.949951,3685.000000,3730.300049,3660.108154,369098
2018-05-29,3750.000000,3775.000000,3701.000000,3716.050049,3646.126465,347743
2018-05-30,3690.000000,3732.699951,3690.000000,3706.649902,3636.903320,201412
2018-05-31,3706.050049,3764.949951,3686.699951,3744.899902,3674.433594,733987
2018-06-01,3749.899902,3749.899902,3660.000000,3688.149902,3618.751221,232438
2018-06-04,3702.800049,3725.899902,3626.000000,3711.149902,3641.318604,200526
2018-06-05,3710.000000,3710.000000,3636.050049,3676.850098,3607.664307,204863
2018-06-06,3665.000000,3723.399902,3631.350098,3696.350098,3626.797363,200850
2018-06-07,3724.899902,3734.750000,3702.399902,3723.149902,3653.092529,149988
2018-06-08,3714.000000,3729.050049,3664.600098,3715.149902,3645.243408,281709
2018-06-11,3728.000000,3830.000000,3714.949951,3790.100098,3718.783203,283522
2018-06-12,3814.899902,3814.899902,3755.350098,3766.199951,3695.332764,262627
2018-06-13,3776.000000,3835.000000,3746.899902,3800.600098,3729.085449,239285
2018-06-14,3790.000000,3790.000000,3745.000000,3767.000000,3696.117920,235397
2018-06-15,3765.000000,3792.000000,3671.850098,3691.649902,3622.185547,588115
2018-06-18,3686.550049,3708.000000,3641.000000,3669.500000,3600.452393,238900
2018-06-19,3652.000000,3660.000000,3612.399902,3648.000000,3579.356689,249879
2018-06-20,3653.000000,3663.000000,3625.000000,3651.350098,3582.644043,222658
2018-06-21,3673.000000,3673.000000,3600.000000,3616.899902,3548.841797,321887
2018-06-22,3624.000000,3654.699951,3563.000000,3641.050049,3572.537842,330296
2018-06-25,3653.000000,3770.000000,3631.600098,3752.000000,3681.399902,498922
2018-06-26,3752.000000,3863.949951,3750.000000,3840.100098,3767.842285,582262
2018-06-27,3850.000000,3857.399902,3750.000000,3773.149902,3702.151855,394258
2018-06-28,3773.149902,3784.949951,3685.600098,3721.399902,3651.375732,545895
2018-06-29,3749.000000,3830.399902,3715.050049,3818.600098,3746.746826,320835
2018-07-02,3798.000000,3826.800049,3734.100098,3777.300049,3706.224121,224587
2018-07-03,3785.000000,3785.000000,3730.350098,3749.850098,3679.290527,244401
2018-07-04,3758.000000,3805.000000,3735.000000,3790.649902,3719.322510,190572
2018-07-05,3797.000000,3963.149902,3793.350098,3936.250000,3862.183105,499755
2018-07-06,3910.250000,3998.000000,3890.000000,3954.350098,3879.942383,327395
2018-07-09,3960.000000,4014.600098,3890.500000,3899.250000,3825.879395,282644
2018-07-10,3910.000000,3974.000000,3901.149902,3959.800049,3895.780518,186488
2018-07-11,3945.800049,3962.000000,3921.250000,3951.800049,3887.909912,236871
2018-07-12,3961.000000,4050.000000,3939.050049,3946.949951,3883.138428,558480
2018-07-13,3981.699951,4024.250000,3950.000000,3963.750000,3899.666748,237239
2018-07-16,3964.000000,3977.550049,3834.199951,3864.000000,3801.529297,284241
2018-07-17,3876.000000,3925.500000,3840.300049,3895.199951,3832.224854,175938
2018-07-18,3906.000000,3977.600098,3810.000000,3849.350098,3787.116455,798285
2018-07-19,3841.000000,3878.199951,3783.000000,3857.250000,3794.888428,342317
2018-07-20,3830.000000,3885.000000,3830.000000,3871.699951,3809.104980,196849
2018-07-23,3885.000000,4043.899902,3879.050049,4009.649902,3944.824463,257170
2018-07-24,4050.000000,4230.000000,4050.000000,4136.799805,4069.918945,548782
2018-07-25,4135.000000,4135.000000,3984.300049,4044.850098,3979.455811,247468
2018-07-26,4045.000000,4172.950195,4039.949951,4142.799805,4075.821289,839947
2018-07-27,4175.000000,4189.950195,4100.200195,4124.649902,4057.965576,190337
2018-07-30,4130.500000,4250.000000,4125.000000,4243.350098,4174.746582,329539
2018-07-31,4236.299805,4243.000000,4171.450195,4193.799805,4125.997070,251535
2018-08-01,4205.500000,4229.950195,4153.350098,4193.049805,4125.258789,159147
2018-08-02,4187.000000,4224.000000,4152.000000,4183.500000,4115.863281,135635
2018-08-03,4200.000000,4220.799805,4152.000000,4167.750000,4100.368652,205260
2018-08-06,4175.000000,4210.000000,4137.049805,4177.799805,4110.255859,184759
2018-08-07,4170.000000,4269.000000,4165.049805,4206.700195,4138.688965,461061
2018-08-08,4212.000000,4260.000000,4191.250000,4244.100098,4175.483887,297215
2018-08-09,4242.000000,4319.950195,4215.500000,4310.799805,4241.105957,336669
2018-08-10,4315.000000,4333.200195,4230.000000,4246.200195,4177.550781,287805
2018-08-13,4226.000000,4226.000000,4175.000000,4194.200195,4126.390625,155075
2018-08-14,4194.000000,4339.950195,4194.000000,4299.100098,4229.595215,455836
2018-08-16,4285.000000,4285.049805,4200.049805,4213.500000,4145.378906,430146
2018-08-17,4260.000000,4308.549805,4204.450195,4285.700195,4216.411621,262047
2018-08-20,4291.899902,4339.799805,4273.000000,4300.700195,4231.169434,135703
2018-08-21,4305.000000,4393.000000,4304.600098,4350.200195,4279.869141,271157
2018-08-23,4375.000000,4383.899902,4304.000000,4347.250000,4276.966309,189320
2018-08-24,4331.000000,4399.000000,4280.000000,4316.000000,4246.221191,241765
2018-08-27,4330.000000,4380.000000,4320.649902,4370.799805,4300.136230,200121
2018-08-28,4381.000000,4460.000000,4350.000000,4427.649902,4356.066895,301809
2018-08-29,4434.950195,4434.950195,4375.500000,4401.950195,4330.782227,177155
2018-08-30,4403.000000,4445.000000,4386.000000,4426.399902,4354.836914,332154
2018-08-31,4426.000000,4493.649902,4398.049805,4475.500000,4403.143066,299423
2018-09-03,4470.000000,4470.000000,4354.399902,4373.549805,4302.841309,150383
2018-09-04,4373.500000,4373.500000,4176.000000,4201.149902,4133.228516,325798
2018-09-05,4198.000000,4250.000000,4106.000000,4159.450195,4092.202881,384529
2018-09-06,4209.000000,4271.899902,4130.049805,4153.200195,4086.054199,373709
2018-09-07,4184.299805,4287.700195,4150.000000,4268.200195,4199.194336,196079
2018-09-10,4260.000000,4260.000000,4138.000000,4154.649902,4087.479980,337900
2018-09-11,4154.750000,4187.950195,4089.100098,4107.600098,4041.191162,318329
2018-09-12,4138.000000,4138.299805,4056.000000,4096.350098,4030.122803,233072
2018-09-14,4141.899902,4199.399902,4095.449951,4189.100098,4121.373047,635121
2018-09-17,4156.000000,4174.950195,4090.649902,4103.500000,4037.157227,210529
2018-09-18,4102.000000,4112.899902,4027.350098,4059.949951,3994.311279,268420
2018-09-19,4088.000000,4088.000000,4045.750000,4050.699951,3985.210693,322516
2018-09-21,4064.449951,4099.700195,3910.500000,4069.350098,4003.559326,551314
2018-09-24,4060.000000,4060.000000,3926.800049,3974.899902,3910.636230,421511
2018-09-25,3970.000000,4049.000000,3950.000000,4028.699951,3963.566406,248960
2018-09-26,4040.199951,4102.350098,4024.800049,4067.550049,4001.788574,283138
2018-09-27,4089.850098,4213.700195,4022.000000,4120.399902,4053.783936,525917
2018-09-28,4151.000000,4151.299805,4014.050049,4059.949951,3994.311279,318703
2018-10-01,4050.000000,4050.000000,3854.000000,3940.199951,3876.497314,427828
2018-10-03,3955.000000,3971.550049,3813.050049,3860.300049,3797.889160,500577
2018-10-04,3833.449951,3961.199951,3777.899902,3943.649902,3879.891357,535184
2018-10-05,3924.850098,3924.850098,3768.500000,3793.800049,3732.464355,380282
2018-10-08,3770.000000,3786.500000,3701.550049,3758.899902,3698.128418,427278
2018-10-09,3779.000000,3865.949951,3744.000000,3782.000000,3720.855225,215436
2018-10-10,3782.000000,3829.000000,3725.000000,3778.000000,3716.919678,273039
2018-10-11,3715.000000,3739.899902,3631.199951,3688.750000,3629.112793,241641
2018-10-12,3728.000000,3815.000000,3705.149902,3795.149902,3733.792236,289631
2018-10-15,3820.000000,3820.000000,3662.100098,3708.399902,3648.444824,234650
2018-10-16,3744.000000,3814.000000,3706.649902,3752.699951,3692.028809,308164
2018-10-17,3785.500000,3790.500000,3715.000000,3723.000000,3662.808838,166654
2018-10-19,3610.000000,3650.000000,3525.000000,3609.600098,3551.242432,758353
2018-10-22,3598.000000,3598.000000,3446.100098,3463.250000,3407.258545,709687
2018-10-23,3453.800049,3460.899902,3260.449951,3343.649902,3289.591797,809289
2018-10-24,3376.100098,3436.149902,3330.350098,3383.550049,3328.846924,354011
2018-10-25,3342.000000,3389.250000,3277.500000,3347.500000,3293.379883,519442
2018-10-26,3351.199951,3399.399902,3292.000000,3386.699951,3331.945801,270475
2018-10-29,3404.949951,3455.300049,3363.000000,3441.699951,3386.056885,278127
2018-10-30,3440.000000,3500.949951,3422.550049,3463.649902,3407.651855,159145
2018-10-31,3470.000000,3519.899902,3374.000000,3499.399902,3442.823730,371435
2018-11-01,3522.000000,3615.949951,3470.000000,3601.649902,3543.420654,227757
2018-11-02,3590.000000,3867.000000,3590.000000,3730.800049,3670.482910,444425
2018-11-05,3716.949951,3795.399902,3657.850098,3774.550049,3713.525391,229476
2018-11-06,3774.550049,3807.550049,3711.550049,3744.399902,3683.862549,277572
2018-11-07,3770.000000,3806.000000,3750.100098,3782.600098,3721.445313,52687
2018-11-09,3798.800049,3828.149902,3769.350098,3817.850098,3756.125488,200993
2018-11-12,3821.899902,3889.850098,3712.300049,3726.850098,3666.596680,287420
2018-11-13,3730.000000,3849.250000,3724.449951,3829.899902,3767.980713,213510
2018-11-14,3838.000000,3978.300049,3830.350098,3917.050049,3853.721924,449597
2018-11-15,3927.800049,3933.800049,3830.050049,3912.949951,3849.687988,233272
2018-11-16,3952.000000,3980.000000,3911.050049,3962.399902,3898.338379,220575
2018-11-19,3970.399902,4047.000000,3952.449951,4031.949951,3966.764160,448367
2018-11-20,4033.000000,4046.500000,3960.000000,3976.449951,3912.161377,183485
2018-11-21,3980.699951,4054.000000,3937.050049,4043.800049,3978.422607,310675
2018-11-22,4050.000000,4050.000000,3939.000000,3950.399902,3886.532227,235065
2018-11-26,3994.000000,4000.000000,3941.850098,3959.850098,3895.829834,274495
2018-11-27,3982.000000,4029.000000,3950.250000,4005.000000,3940.249756,290501
2018-11-28,4005.199951,4040.000000,3982.199951,4003.899902,3939.167236,293918
2018-11-29,4039.899902,4058.100098,4012.000000,4030.399902,3965.239014,495678
2018-11-30,4030.000000,4081.000000,3985.899902,3999.649902,3934.986328,637323
2018-12-03,4040.000000,4100.000000,4014.899902,4047.000000,3981.570801,356511
2018-12-04,4067.000000,4105.250000,4021.300049,4030.649902,3965.484863,228182
2018-12-05,4020.300049,4029.399902,3954.149902,3969.050049,3904.880859,175670
2018-12-06,3945.050049,3955.850098,3823.949951,3864.500000,3802.020996,271400
2018-12-07,3905.000000,3958.000000,3880.050049,3932.500000,3868.921875,188598
2018-12-10,3880.100098,3880.100098,3761.800049,3776.550049,3715.493408,291666
2018-12-11,3749.000000,3896.000000,3725.050049,3874.100098,3811.466064,324889
2018-12-12,3886.899902,3950.000000,3873.850098,3932.399902,3868.823242,183942
2018-12-13,3997.000000,3997.000000,3925.000000,3949.100098,3885.253662,213593
2018-12-14,4039.000000,4043.800049,3975.000000,4005.050049,3940.299072,312029
2018-12-17,4015.899902,4021.550049,3965.000000,4009.300049,3944.480225,130496
2018-12-18,3999.000000,4017.100098,3978.000000,4008.149902,3943.348877,196490
2018-12-19,4010.000000,4173.750000,4005.100098,4084.550049,4018.513672,990102
2018-12-20,4075.000000,4134.000000,4003.300049,4040.350098,3975.028320,541116
2018-12-21,4030.000000,4080.000000,3955.500000,3984.300049,3919.884766,390384
2018-12-24,3950.000000,4010.899902,3905.000000,3917.149902,3853.820068,322548
2018-12-26,3891.100098,4008.000000,3857.050049,3996.100098,3931.493896,224353
2018-12-27,4015.000000,4020.500000,3955.000000,3982.500000,3918.113281,255449
2018-12-28,3986.600098,4022.000000,3985.000000,4004.949951,3940.200684,196548
2018-12-31,4030.000000,4032.750000,3980.000000,3990.949951,3926.427002,157905
2019-01-01,4000.000000,4014.350098,3966.250000,4009.199951,3944.381836,92921
2019-01-02,4000.000000,4018.949951,3973.949951,4006.100098,3941.332031,143828
2019-01-03,4010.000000,4015.000000,3875.949951,3900.050049,3836.996582,223538
2019-01-04,3928.000000,3928.000000,3853.000000,3914.550049,3851.262207,220079
2019-01-07,3935.000000,3985.399902,3913.850098,3926.750000,3863.264648,220371
2019-01-08,3915.000000,3943.449951,3840.000000,3916.300049,3852.983887,271012
2019-01-09,3917.000000,3934.899902,3800.000000,3817.250000,3755.535400,248627
2019-01-10,3820.000000,3847.000000,3804.050049,3818.199951,3756.469971,138524
2019-01-11,3818.199951,3851.550049,3751.100098,3770.199951,3709.245605,248857
2019-01-14,3770.199951,3796.949951,3737.949951,3776.600098,3715.542480,198557
2019-01-15,3792.000000,3845.000000,3771.050049,3827.649902,3765.767090,298881
2019-01-16,3843.000000,3908.000000,3835.199951,3887.000000,3824.157227,201711
2019-01-17,3892.000000,3914.750000,3810.000000,3846.449951,3784.262939,235993
2019-01-18,3859.000000,3859.000000,3771.600098,3819.949951,3758.191406,237908
2019-01-21,3810.000000,3867.500000,3790.000000,3849.550049,3787.312744,279969
2019-01-22,3850.000000,3887.000000,3800.899902,3860.500000,3798.085938,220491
2019-01-23,3862.000000,3886.050049,3840.750000,3850.649902,3788.395020,171340
2019-01-24,3856.000000,3878.550049,3770.050049,3790.699951,3729.414551,808713
2019-01-25,3800.000000,3800.000000,3480.050049,3510.800049,3454.039551,1593195
2019-01-28,3510.000000,3510.000000,3332.449951,3374.449951,3319.894043,1260559
2019-01-29,3375.000000,3509.899902,3370.000000,3409.649902,3354.524902,754743
2019-01-30,3420.000000,3467.300049,3365.000000,3442.199951,3386.548828,303793
2019-01-31,3454.000000,3540.000000,3432.100098,3519.350098,3462.451660,621043
2019-02-01,3530.000000,3538.550049,3446.000000,3483.649902,3427.328857,745604
2019-02-04,3480.050049,3496.899902,3402.000000,3447.500000,3391.763184,320227
2019-02-05,3447.500000,3472.000000,3410.000000,3461.750000,3405.782715,286515
2019-02-06,3484.899902,3534.899902,3441.000000,3510.350098,3453.597168,341588
2019-02-07,3509.699951,3606.850098,3497.500000,3570.550049,3512.823975,367134
2019-02-08,3535.000000,3587.949951,3515.250000,3557.800049,3500.279785,287105
2019-02-11,3565.600098,3565.600098,3440.100098,3449.399902,3393.632080,206491
2019-02-12,3440.000000,3498.300049,3415.050049,3452.350098,3396.534668,266527
2019-02-14,3454.000000,3503.750000,3426.649902,3494.899902,3438.396729,156493
2019-02-15,3489.899902,3489.899902,3367.050049,3439.449951,3383.843018,276417
2019-02-18,3452.000000,3459.000000,3380.000000,3429.250000,3373.808105,270262
2019-02-19,3410.149902,3504.949951,3410.149902,3467.600098,3411.538330,213945
2019-02-20,3474.100098,3597.000000,3471.100098,3573.350098,3515.578369,243815
2019-02-21,3583.000000,3654.000000,3560.000000,3631.250000,3572.541992,394248
2019-02-22,3631.000000,3664.500000,3604.850098,3625.699951,3567.082031,216855
2019-02-25,3620.000000,3724.449951,3617.000000,3716.600098,3656.512207,445514
2019-02-26,3690.000000,3816.000000,3676.050049,3788.550049,3727.299316,700811
2019-02-27,3810.000000,3905.000000,3801.699951,3889.100098,3826.223633,681050
2019-02-28,3915.000000,3915.000000,3790.000000,3826.500000,3764.635742,718074
2019-03-01,3839.899902,3899.500000,3826.550049,3878.350098,3815.647217,270365
2019-03-05,3893.899902,3978.699951,3870.050049,3962.199951,3898.141602,367903
2019-03-06,3963.000000,4020.000000,3935.800049,3978.649902,3914.325928,349217
2019-03-07,3978.800049,3987.800049,3900.350098,3912.800049,3849.540527,382836
2019-03-08,3924.800049,3986.149902,3885.500000,3972.000000,3907.782959,253766
2019-03-11,3975.500000,4057.500000,3955.649902,4049.149902,3983.685791,389964
2019-03-12,4063.899902,4147.950195,4050.500000,4095.750000,4029.532715,609648
2019-03-13,4099.000000,4140.000000,4011.050049,4025.649902,3960.565674,380923
2019-03-14,4036.899902,4061.149902,3932.000000,3964.149902,3900.060303,301915
2019-03-15,3990.000000,3990.000000,3905.000000,3916.100098,3852.787354,339118
2019-03-18,3949.000000,3979.000000,3918.050049,3970.199951,3906.012207,286827
2019-03-19,3970.199951,4012.000000,3960.050049,3978.000000,3913.686279,370780
2019-03-20,4004.699951,4009.750000,3910.899902,3922.300049,3858.886963,295550
2019-03-22,3945.850098,3976.899902,3883.600098,3929.750000,3866.216553,399902
2019-03-25,3911.000000,3911.000000,3850.000000,3871.050049,3808.465332,265291
2019-03-26,3869.000000,3944.750000,3830.000000,3925.600098,3862.133545,336761
2019-03-27,3951.699951,3997.199951,3880.000000,3901.949951,3838.865723,443206
2019-03-28,3920.000000,3968.000000,3894.449951,3908.949951,3845.752441,544435
